,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
11001001500,2170,6350,3217,3133,4558,4394,1248,45.3,62.6,3012,10.5,451,29.8,1275,55.7,2382,1.7,0.9,97.4,11.7,28.0,0.0,0.0,2046,0,3,0,0,0,42,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,5,0,0,0
11001001600,1716,4175,2066,2109,3379,3325,939,50.1,50.8,1779,11.5,374,28.8,940,49.8,1625,3.9,0.8,95.3,20.1,33.3,33.3,0.0,1547,0,0,0,0,1,64,11,0,17,0,1,1,0,2,0,0,0,3,5,0,0,0,1,1,0,0,4,5,0,9,0,0,2,2,0,0
11001001702,1367,3083,1431,1652,2671,2615,451,42.0,39.6,1075,16.9,426,27.5,691,34.0,854,9.0,5.2,85.9,45.5,31.9,0.0,0.0,1343,0,0,3,0,2,138,7,4,9,2,0,0,1,1,0,0,1,3,1,0,0,1,1,0,0,0,3,15,0,1,0,0,2,2,0,0
11001001803,1654,4042,1902,2140,3006,2908,569,34.7,45.6,1416,26.3,716,19.0,518,15.7,426,12.7,15.2,72.1,39.3,34.8,34.8,0.0,1557,0,1,1,0,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,0,2,0,0,0
11001001804,2241,5619,2902,2717,4423,4247,548,34.6,28.3,1308,24.5,970,12.8,508,13.2,521,16.4,13.0,70.6,37.3,29.5,0.0,0.0,2091,2,0,1,0,1,54,6,0,2,0,0,1,1,4,0,0,0,1,8,0,0,0,0,3,0,0,0,0,2,1,0,0,2,2,0,0
11001001901,1667,3997,1754,2243,3151,3027,624,37.8,31.0,1040,28.7,806,23.6,663,14.4,406,10.6,8.0,81.5,39.4,34.1,0.0,0.0,1449,0,0,2,0,0,35,6,4,5,0,0,0,1,1,0,0,0,3,4,2,0,0,0,5,0,1,4,0,3,0,0,0,0,1,0,0
11001001902,866,2337,925,1412,1975,1965,401,41.2,31.3,632,31.4,588,14.2,266,28.2,528,8.5,3.4,88.2,33.2,34.7,0.0,39435.0,841,0,0,1,0,0,38,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,0,0,0,0,2,0,0
11001002001,1072,2848,1354,1494,2307,2244,498,42.5,43.7,1022,15.9,351,26.0,576,21.3,471,6.8,15.7,77.5,37.9,31.9,0.0,41472.0,1009,0,1,0,0,0,36,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0
11001002002,1479,3911,1858,2053,3133,3068,530,42.0,46.9,1544,22.4,665,20.2,601,22.3,664,13.3,5.9,80.9,28.6,31.9,0.0,51680.0,1376,3,1,3,0,1,60,3,1,20,0,0,1,0,4,0,0,0,5,7,0,0,8,0,1,0,0,0,6,1,2,0,0,1,0,0,0
11001002101,2338,5859,2834,3025,4487,4253,655,37.5,31.8,1491,23.6,951,16.9,680,8.5,344,14.9,6.7,78.4,45.9,35.1,0.0,36384.0,2109,0,0,2,0,1,68,2,8,6,0,0,5,0,2,0,0,0,13,10,0,0,0,0,2,0,0,6,3,2,1,0,0,0,5,0,0
11001002102,2287,4921,2336,2585,4064,3961,613,40.5,20.4,868,25.8,968,22.9,861,20.2,758,18.0,2.6,79.4,33.6,33.2,0.0,51171.0,2139,0,0,1,0,1,57,6,2,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2,4,1,0,0,0,4,0,0
11001002201,1207,3704,1883,1821,3073,3027,535,35.7,37.5,1205,25.9,679,24.4,641,10.9,285,7.9,5.5,86.6,32.8,33.4,0.0,40131.0,1168,0,0,1,0,0,10,0,3,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
11001002202,1473,3974,2071,1903,2977,2830,341,32.5,24.4,762,24.1,634,16.8,441,13.4,351,26.4,11.6,62.0,47.6,32.4,32.4,0.0,1313,0,0,1,0,0,18,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0
