Location,Lat,Lon,p,e
"Acton Central	Ealing	London",51.50872,-0.26295,6520,46260
"Cleveland	Ealing	London",51.52137,-0.321872,5930,53560
"Dormers Wells	Ealing	London",51.516798,-0.357227,4380,37130
"Ealing Broadway	Ealing	London",51.514928,-0.301862,6300,59190
"Ealing Common	Ealing	London",51.510234,-0.288233,6010,56300
"East Acton	Ealing	London",51.51032,-0.250568,7530,41590
"Elthorne	Ealing	London",51.499997,-0.329638,6140,49650
"Greenford Broadway	Ealing	London",51.510264,-0.323633,6530,38540
"Greenford Green	Ealing	London",51.550543,-0.338038,5150,44830
"Hanger Hill	Ealing	London",51.521662,-0.291533,6360,58010
"Hobbayne	Ealing	London",51.519691,-0.346113,5620,45900
"Lady Margaret	Ealing	London",51.522017,-0.374729,4110,41060
"Northfield	Ealing	London",51.503371,-0.317348,5470,63700
"North Greenford	Ealing	London",51.531797,-0.34622,4890,46250
"Northolt Mandeville	Ealing	London",51.548418,-0.367598,5790,40330
"Northolt West End	Ealing	London",51.535067,-0.396097,5810,36170
"Norwood Green	Ealing	London",51.493073,-0.368325,4500,36730
"Perivale	Ealing	London",51.532222,-0.324477,5360,45650
"South Acton	Ealing	London",51.501778,-0.288608,6530,43350
"Southall Broadway	Ealing	London",51.510264,-0.323633,3880,35440
"Southall Green	Ealing	London",51.497487,-0.390355,4370,34530
"Southfield	Ealing	London",51.502808,-0.263491,6220,66360
"Walpole	Ealing	London",51.50968,-0.313229,5660,60250
"Bowes	Enfield	London",51.612343,-0.115253,5420,45290
"Bush Hill Park	Enfield	London",51.644861,-0.072226,5500,52700
"Chase	Enfield	London",51.653202,-0.116439,5760,45360
"Cockfosters	Enfield	London",51.647851,-0.151255,5450,55190
"Edmonton Green	Enfield	London",51.625081,-0.06078,6820,32940
"Enfield Highway	Enfield	London",51.652918,-0.041145,5910,36850
"Enfield Lock	Enfield	London",51.66794,-0.024218,6640,37780
"Grange	Enfield	London",51.631417,-0.125221,5490,58640
"Haselbury	Enfield	London",51.622316,-0.074791,5730,37020
"Highlands	Enfield	London",51.629729,-0.166532,5760,55140
"Jubilee	Enfield	London",51.652628,-0.119968,5340,38450
"Lower Edmonton	Enfield	London",51.625081,-0.06078,6140,35300
"Palmers Green	Enfield	London",51.623469,-0.103752,5830,47480
"Ponders End	Enfield	London",51.646025,-0.045836,5780,35810
"Southbury	Enfield	London",51.6487,-0.05241,5580,41440
"Southgate	Enfield	London",51.62805,-0.126776,6090,52310
"Southgate Green	Enfield	London",51.624596,-0.125469,5290,54020
"Town	Enfield	London",51.652299,-0.080712,6180,53390
"Turkey Street	Enfield	London",51.672711,-0.050112,5470,36270
"Upper Edmonton	Enfield	London",51.609044,-0.059125,6110,35720
"Winchmore Hill	Enfield	London",51.634102,-0.102445,5530,58520
"Abbey Wood	Greenwich	London",51.490976,0.120832,6170,39630
"Blackheath Westcombe	Greenwich	London",51.48132,0.01993,6340,63690
"Charlton	Greenwich	London",51.481818,0.040177,5920,47740
"Coldharbour and New Eltham	Greenwich	London",51.429837,0.058004,5210,48340
"Eltham North	Greenwich	London",51.451169,0.052639,5340,54840
"Eltham South	Greenwich	London",51.451169,0.052639,5200,46660
"Eltham West	Greenwich	London",51.451169,0.052639,3970,42970
"Glyndon	Greenwich	London",51.487874,0.081695,6770,39810
"Greenwich West	Greenwich	London",51.482577,-0.007659,7630,53640
"Kidbrooke with Hornfair	Greenwich	London",51.483462,0.05862,6000,44870
"Middle Park and Sutcliffe	Greenwich	London",51.483462,0.05862,5700,44350
"Peninsula	Greenwich	London",51.501273,0.004876,6750,53050
"Plumstead	Greenwich	London",51.484807,0.087142,6070,40660
"Shooters Hill	Greenwich	London",51.469702,0.063507,5350,49190
"Thamesmead Moorings	Greenwich	London",51.483462,0.05862,7090,43220
"Woolwich Common	Greenwich	London",51.47938,0.059746,6750,38090
"Woolwich Riverside	Greenwich	London",51.49354,0.065222,8430,42080
"Brownswood	Hackney	London",51.562652,-0.096331,4950,48860
"Cazenove	Hackney	London",51.566259,-0.066148,4670,46380
"Chatham	Hackney	London",51.545284,-0.050729,5760,39570
"Clissold	Hackney	London",51.556729,-0.086962,5090,56050
"Dalston	Hackney	London",51.547623,-0.070113,6730,46500
"De Beauvoir	Hackney	London",51.541037,-0.080583,6240,47560
"Hackney Central	Hackney	London",51.547124,-0.05682,5520,42840
"Hackney Downs	Hackney	London",51.553769,-0.062443,5360,43360
"Haggerston	Hackney	London",51.533033,-0.07069,6340,43830
"Hoxton	Hackney	London",51.535638,-0.089344,6960,42490
